R&D Spend,Administration,Marketing Spend,State,Profit
47073.9,96920.2,125366.2,Califoria,68618
67709.3,128967.9,85364.8,Califoria,191012.5
68594.4,103287.5,282639.3,New York,156146.6
26997.8,82533.9,262114.9,Califoria,105293.2
42377.1,133941.7,151317.1,Califoria,67477.9
6556.4,107839.3,107834.2,Califoria,162256.5
71511.9,138963.9,115792.1,Florida,142336.5
53877.7,54041.3,128490.7,Califoria,71058.7
72207.5,123079.5,102883.5,Florida,178067.2
36422.4,127554.4,75858,Califoria,150156.5
9227.5,94187.6,73079.6,New York,187242.1
61469.5,142612.4,94798.5,Florida,157967.4
52426.4,117773.3,118219.4,Florida,134702.8
56901.6,60413.4,88812.4,New York,88654.3
37305.5,53994.9,146304.9,Florida,134556.5
31315.7,70553.1,64983.4,Califoria,121107.9
79961.5,103322.7,210490,Florida,186077.7
39243.9,140565.2,202709.8,Califoria,169576
21627.6,144269.4,242863.4,Florida,183037.6
60303.5,132841.3,294594.9,Califoria,143657.5
76619.4,113204.2,162206.2,New York,82321.5
43658.5,119428.9,197245.1,New York,91291.6
71433.6,117141.4,231784.5,Florida,59261.2
56695.2,121182,69531.8,New York,136644.7
46570,127260.5,258253,Florida,54830.5
78494,120034.8,245119.9,Califoria,138136.7
66977.2,135089.6,163551.1,Califoria,127727.8
77150.7,70988.3,41713.4,Califoria,51919.3
39869.1,108944.5,235694.9,Florida,104499.8
65794.8,111408.8,209170.4,Califoria,64699.4
54041.8,105415.4,240432.3,Florida,60609.3
62005.5,130592.7,33828.4,Florida,119779.9
